Pick,Team,Abbreviation
32,Philadelphia,PHI
17,Cincinnati,CIN
26,LA Rams,LAR
4,New England,NE
12,Dallas,DAL
29,Washington,WAS
27,Baltimore,BAL
20,Denver,DEN
14,Indianapolis,IND
30,Buffalo,BUF
31,Kansas City,KC
1,Tennessee,TEN
11,San Francisco,SF
5,Jacksonville,JAX
10,Chicago,CHI
21,Pittsburgh,PIT
6,Las Vegas,LV
22,LA Chargers,LAC
9,New Orleans,NO
16,Arizona,ARI
18,Seattle,SEA
23,Green Bay,GB
8,Carolina,CAR
15,Atlanta,ATL
2,Cleveland,CLE
19,Tampa Bay,TB
7,NY Jets,NYJ
25,Houston,HOU
28,Detroit,DET
13,Miami,MIA
24,Minnesota,MIN
3,NY Giants,NYG
